Gene,cluster,padj
Adprhl2,3,0.001676061
Adamtsl1,3,0.023216517
Hist1h2bn,3,0.011575958
Nfkbil1,3,0.036674203
Echdc3,3,0.048937611
Ilvbl,3,0.002123009
Rnf31,3,0.046943473
Gm4032,3,0.000507024
Pcdhb9,3,0.006533518
Polr3c,3,0.023723319
Ercc1,3,0.0087061
Il33,3,0.003926809
Gm26956,3,0.011259232
Gm21631,3,0.029503221
Gm2075,3,0.003729332
Fam98b,3,0.049684256
Arel1,3,0.003621471
Gm44033,3,0.013510686
Gm11945,3,0.035198625
Gm4398,3,0.04700752
Gm8163,3,0.034620245
Taf6l,3,0.028515764
Gm37310,3,0.0230572
Gm8823,3,0.003290381
Safb,3,0.010069078
Hmbs,3,0.00608941
Mrgprb11.ps,3,0.01767779
Dmac2,3,0.003293177
Gm42843,3,0.004376667
X1700026F02Rik,3,2.49E-05
Gm6967,3,0.049724591
Gm4607,3,0.010692366
Esam,3,0.038079018
Cox15,3,0.021208092
Scn1b,3,0.009591679
X4930404N11Rik,3,0.021285613
X4930520O04Rik,3,0.00366522
R3hcc1,3,0.001714805
Igkv8.28,3,0.002604719
Mogs,3,0.046410044
Ndufa10,3,0.047137947
Hnrnpr,3,0.01101406
Gm37465,3,0.049684256
Gm6988,3,0.048054718
Dapk3,3,0.049085941
Syt7,3,0.035857442
Rpl35a.ps4,3,0.017458074
Lgmn,3,0.028870051
Gm4865,3,0.014955998
Gm24270,3,0.027502632
Mpst,3,4.62E-05
Srd5a3,3,0.001307277
Gm4853,3,0.022628581
Gm13735,3,0.023128736
Nop53,3,0.022284935
Gm45424,3,0.003606604
Rps12.ps3,3,0.029838513
Gm7434,3,0.033713329
Birc6,3,0.004454954
Gm19246,3,0.01046013
Eid1,3,0.047990264
Gm13910,3,0.000915596
Gm46379,3,0.000847708
Gm2000,3,0.040663385
Nr1h3,3,0.005909827
Tsnax,3,1.13E-05
Noa1,3,0.013810033
Bhlhe22,3,0.029755549
Ptk2b,3,0.045680115
Pym1,3,0.019679258
Gm37261,3,0.036272497
Wdr13,3,0.01706886
Mir6244,3,8.35E-05
X2810030D12Rik,3,0.026273403
Nppa,3,0.012009654
Mettl21a,3,0.010521014
Rpl30.ps2,3,0.003555974
Gdf15,3,0.044495628
Mir3470b,3,0.009234326
Trim30a,3,0.000421822
Enho,3,0.010387449
Gm2035,3,0.000395397
A430110L20Rik,3,0.014154541
Fut4,3,0.020676127
Klhl42,3,0.020816459
Mboat7,3,0.012763162
Gm8182,3,0.015116044
Odr4,3,0.002307682
Gm10221,3,0.002356736
D7Bwg0826e,3,0.031137847
Klhdc8b,3,0.040519958
Ctif,3,0.024049772
Emc8,3,0.033746992
Rwdd3,3,0.037617441
